airport_name,cancellation_reason,num_cancellations
"San Luis Obispo, CA: San Luis Obispo County Regional","National Air System""D",1
"Santa Rosa, CA: Charles M. Schulz Sonoma County","Carrier""B",1
"Sault Ste. Marie, MI: Chippewa County International","Carrier""B",1
"State College, PA: University Park","National Air System""D",1
"State College, PA: University Park","Carrier""B",1
"Staunton, VA: Shenandoah Valley Regional","National Air System""D",1
"Staunton, VA: Shenandoah Valley Regional","Carrier""B",1
"Vernal, UT: Vernal Regional","National Air System""D",1
"Waterloo, IA: Waterloo Regional","National Air System""D",1
"Wilkes-Barre, PA: Wilkes-Barre/Scranton International","National Air System""D",1
"Wilkes-Barre, PA: Wilkes-Barre/Scranton International","Carrier""B",1
"Wrangell, AK: Wrangell","Carrier""B",1
